Jurisdiction,Accepts attestation of consent,Accept electronic requests,General inbox for receiving requests,No fee,No notarized or witnessed signature
Intro description,accept attestation of content,accept electronic requests,have a general inbox for receiving requests,don't require a fee,don't require a notarized or witnessed signature
Alabama,Not implemented,Not implemented,Fully implemented,Fully implemented,Not implemented
Alaska,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
American Samoa,Not implemented,Not implemented,Not implemented,Not implemented,Not implemented
Arizona,Not implemented,Partially implemented,Fully implemented,Fully implemented,Fully implemented
Arkansas,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
California,Fully implemented,Not implemented,Fully implemented,Not implemented,Fully implemented
Colorado,Not implemented,Fully implemented,Fully implemented,Not implemented,Fully implemented
Connecticut,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Delaware,Not implemented,Fully implemented,Fully implemented,Not implemented,Fully implemented
"Washington, D.C.",Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Florida,Not implemented,Partially implemented,Fully implemented,Fully implemented,Fully implemented
Georgia,Not implemented,Partially implemented,Fully implemented,Fully implemented,Fully implemented
Guam,Partially implemented,Fully implemented,Not implemented,Fully implemented,Fully implemented
Hawaii,Not implemented,Not implemented,Fully implemented,Fully implemented,Fully implemented
Idaho,Not implemented,Not implemented,Fully implemented,Not implemented,Not implemented
Illinois,Not implemented,Partially implemented,Fully implemented,Fully implemented,Fully implemented
Indiana,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Iowa,Fully implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Kansas,Partially implemented,Fully implemented,Fully implemented,Partially implemented,Fully implemented
Kentucky,Fully implemented,Fully implemented,Fully implemented,Not implemented,Fully implemented
Louisiana,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Maine,Not implemented,Fully implemented,Fully implemented,Not implemented,Fully implemented
Maryland,Not implemented,Fully implemented,Fully implemented,Fully implemented,Not implemented
Massachusetts,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Michigan,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Minnesota,Not implemented,Not implemented,Fully implemented,Not implemented,Not implemented
Mississippi,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Missouri,Not implemented,Fully implemented,Fully implemented,Not implemented,Fully implemented
Montana,Not implemented,Not implemented,Fully implemented,Fully implemented,Not implemented
Nebraska,Not implemented,Fully implemented,Fully implemented,Not implemented,Not implemented
Nevada,Fully implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
New Hampshire,Not implemented,Not implemented,Fully implemented,Fully implemented,Not implemented
New Jersey,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
New Mexico,Not implemented,Partially implemented,Fully implemented,Fully implemented,Fully implemented
New York,Not implemented,Not implemented,Fully implemented,Fully implemented,Not implemented
North Carolina,Not implemented,Not implemented,Fully implemented,Fully implemented,Fully implemented
North Dakota,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Ohio,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Oklahoma,Fully implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Oregon,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Pennsylvania,Not implemented,Fully implemented,Fully implemented,Not implemented,Fully implemented
Puerto Rico,Not implemented,Partially implemented,Partially implemented,Fully implemented,Not implemented
Rhode Island,Fully implemented,Fully implemented,Partially implemented,Not implemented,Fully implemented
South Carolina,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
South Dakota,Not implemented,Partially implemented,Fully implemented,Fully implemented,Fully implemented
Tennessee,Not implemented,Partially implemented,Fully implemented,Fully implemented,Fully implemented
Texas,Not implemented,Fully implemented,Fully implemented,Fully implemented,Not implemented
Utah,Not implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Vermont,Not implemented,Partially implemented,Fully implemented,Fully implemented,Not implemented
Virginia,Not implemented,Fully implemented,Fully implemented,Not implemented,Fully implemented
Washington,Not implemented,Fully implemented,Fully implemented,Not implemented,Fully implemented
West Virginia,Not implemented,Not implemented,Fully implemented,Fully implemented,Fully implemented
Wisconsin,Fully implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
Wyoming,Fully implemented,Fully implemented,Fully implemented,Fully implemented,Fully implemented
